30/03/2022 17:04:26: File Created!
30/03/2022 17:04:26:274, robot_pos_w_timestamp, 1648652581344, 614.57, 276.71, 201.44, 2.36, -0.03, 3.07, tool_force, -0.35, -0.29, -0.01, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 56.97, joints_pos, 36.27, 59.86, -23.21, -66.92, 27.92, 55.42, 53.51, tool_torque, -0.047, -0.131, 0.116, tool_momentum, -0.047, -0.131, 0.116, robot_mode, normal, 
30/03/2022 17:04:35:720, robot_pos_w_timestamp, 1648652590781, 494.51, 163.58, 228.57, 2.37, -0.06, 3.1, tool_force, 0.77, 4.29, 0.51, actual_rep, 1, curr_step, 45, track_size, 99, robot_vel, 51.35, joints_pos, 34.27, 41.17, -22.68, -99.0, 27.67, 45.08, 41.0, tool_torque, 0.262, 0.45, 0.077, tool_momentum, 0.255, 0.448, 0.077, robot_mode, impedance, 
30/03/2022 17:04:35:866, robot_pos_w_timestamp, 1648652590930, 488.85, 161.2, 228.62, 2.37, -0.06, 3.09, tool_force, 0.73, 1.83, 1.15, actual_rep, 1, curr_step, 45, track_size, 99, robot_vel, 38.71, joints_pos, 34.36, 40.52, -22.65, -100.19, 27.63, 44.3, 40.8, tool_torque, 0.358, 0.365, 0.108, tool_momentum, 0.378, 0.363, 0.109, robot_mode, impedance, 
30/03/2022 17:04:36:019, robot_pos_w_timestamp, 1648652591078, 486.48, 159.53, 229.01, 2.37, -0.06, 3.09, tool_force, -0.36, 2.0, 0.48, actual_rep, 1, curr_step, 45, track_size, 99, robot_vel, 16.97, joints_pos, 34.34, 40.17, -22.65, -100.76, 27.62, 43.88, 40.67, tool_torque, 0.493, 0.165, 0.241, tool_momentum, 0.488, 0.165, 0.241, robot_mode, impedance, 
30/03/2022 17:04:36:168, robot_pos_w_timestamp, 1648652591228, 486.15, 158.71, 229.47, 2.37, -0.06, 3.09, tool_force, -2.09, 0.95, 0.39, actual_rep, 1, curr_step, 46, track_size, 99, robot_vel, 6.74, joints_pos, 34.3, 40.06, -22.66, -100.88, 27.63, 43.82, 40.6, tool_torque, 0.321, 0.205, 0.214, tool_momentum, 0.322, 0.199, 0.214, robot_mode, impedance, 
30/03/2022 17:04:36:321, robot_pos_w_timestamp, 1648652591377, 484.43, 162.8, 229.99, 2.37, -0.06, 3.09, tool_force, -1.4, 0.75, 0.01, actual_rep, 1, curr_step, 47, track_size, 99, robot_vel, 24.78, joints_pos, 34.53, 39.87, -22.35, -101.02, 27.66, 43.65, 40.89, tool_torque, 0.32, 0.216, 0.024, tool_momentum, 0.307, 0.227, 0.021, robot_mode, impedance, 
30/03/2022 17:04:36:472, robot_pos_w_timestamp, 1648652591529, 482.57, 166.84, 230.39, 2.37, -0.06, 3.09, tool_force, -2.06, 0.27, 0.15, actual_rep, 1, curr_step, 48, track_size, 99, robot_vel, 36.25, joints_pos, 34.96, 39.74, -22.28, -101.14, 27.71, 43.54, 41.26, tool_torque, 0.253, 0.306, -0.045, tool_momentum, 0.262, 0.295, -0.045, robot_mode, impedance, 
30/03/2022 17:04:36:628, robot_pos_w_timestamp, 1648652591680, 480.96, 171.05, 230.74, 2.37, -0.06, 3.08, tool_force, -2.26, -0.04, 0.11, actual_rep, 1, curr_step, 49, track_size, 99, robot_vel, 32.43, joints_pos, 35.49, 39.68, -22.28, -101.19, 27.73, 43.48, 41.68, tool_torque, 0.149, 0.372, -0.076, tool_momentum, 0.15, 0.372, -0.076, robot_mode, impedance, 
30/03/2022 17:04:36:778, robot_pos_w_timestamp, 1648652591830, 479.35, 175.68, 231.07, 2.37, -0.06, 3.08, tool_force, -1.81, 0.13, 0.19, actual_rep, 1, curr_step, 49, track_size, 99, robot_vel, 29.6, joints_pos, 36.05, 39.64, -22.29, -101.19, 27.75, 43.47, 42.26, tool_torque, 0.184, 0.315, -0.064, tool_momentum, 0.192, 0.308, -0.062, robot_mode, impedance, 
30/03/2022 17:04:36:930, robot_pos_w_timestamp, 1648652591980, 477.71, 180.84, 231.43, 2.37, -0.06, 3.08, tool_force, -2.19, -0.3, 0.12, actual_rep, 1, curr_step, 50, track_size, 99, robot_vel, 35.24, joints_pos, 36.65, 39.6, -22.29, -101.18, 27.75, 43.43, 42.96, tool_torque, 0.126, 0.403, -0.075, tool_momentum, 0.128, 0.404, -0.075, robot_mode, impedance, 
30/03/2022 17:04:37:081, robot_pos_w_timestamp, 1648652592128, 476.23, 186.5, 231.89, 2.37, -0.06, 3.08, tool_force, -1.41, -0.25, -0.06, actual_rep, 1, curr_step, 52, track_size, 99, robot_vel, 33.92, joints_pos, 37.31, 39.59, -22.29, -101.11, 27.75, 43.37, 43.89, tool_torque, 0.162, 0.292, -0.037, tool_momentum, 0.152, 0.301, -0.037, robot_mode, impedance, 
30/03/2022 17:04:37:233, robot_pos_w_timestamp, 1648652592278, 474.95, 192.34, 232.44, 2.36, -0.06, 3.08, tool_force, 0.09, 0.06, 0.19, actual_rep, 1, curr_step, 53, track_size, 99, robot_vel, 39.82, joints_pos, 37.95, 39.58, -22.29, -100.99, 27.75, 43.32, 44.84, tool_torque, 0.106, 0.307, -0.055, tool_momentum, 0.092, 0.331, -0.055, robot_mode, normal, 
30/03/2022 17:04:37:386, robot_pos_w_timestamp, 1648652592431, 473.27, 198.76, 233.37, 2.35, -0.06, 3.08, tool_force, -2.02, -0.38, 0.57, actual_rep, 1, curr_step, 54, track_size, 99, robot_vel, 38.31, joints_pos, 38.75, 39.51, -22.34, -100.95, 27.69, 43.07, 45.98, tool_torque, 0.083, 0.431, -0.055, tool_momentum, 0.15, 0.357, -0.042, robot_mode, normal, 
30/03/2022 17:04:37:533, robot_pos_w_timestamp, 1648652592579, 473.16, 204.64, 234.57, 2.35, -0.06, 3.07, tool_force, -1.09, -0.72, -0.17, actual_rep, 1, curr_step, 55, track_size, 99, robot_vel, 38.76, joints_pos, 39.4, 39.54, -22.4, -100.64, 27.64, 43.03, 46.99, tool_torque, -0.0010, 0.361, -0.06, tool_momentum, -0.0010, 0.353, -0.06, robot_mode, normal, 
30/03/2022 17:04:37:688, robot_pos_w_timestamp, 1648652592730, 474.17, 210.34, 235.32, 2.34, -0.05, 3.07, tool_force, -0.95, -0.71, 0.17, actual_rep, 1, curr_step, 56, track_size, 99, robot_vel, 37.94, joints_pos, 39.9, 39.71, -22.41, -100.16, 27.61, 43.01, 47.92, tool_torque, -0.0030, 0.389, -0.08, tool_momentum, 0.0010, 0.386, -0.08, robot_mode, normal, 
30/03/2022 17:04:37:835, robot_pos_w_timestamp, 1648652592880, 475.87, 216.26, 236.07, 2.34, -0.05, 3.07, tool_force, -1.04, -0.46, 0.31, actual_rep, 1, curr_step, 58, track_size, 99, robot_vel, 41.77, joints_pos, 40.41, 39.96, -22.44, -99.55, 27.54, 43.0, 48.96, tool_torque, -0.0040, 0.393, -0.073, tool_momentum, -0.0070, 0.392, -0.072, robot_mode, normal, 
30/03/2022 17:04:37:991, robot_pos_w_timestamp, 1648652593028, 478.21, 221.89, 236.58, 2.33, -0.05, 3.06, tool_force, -1.34, -1.07, 0.05, actual_rep, 1, curr_step, 58, track_size, 99, robot_vel, 40.6, joints_pos, 40.87, 40.29, -22.52, -98.85, 27.5, 43.01, 50.01, tool_torque, -0.132, 0.411, -0.1, tool_momentum, -0.096, 0.398, -0.099, robot_mode, normal, 
