30/03/2022 10:16:25: File Created!
30/03/2022 10:16:25:887, robot_pos_w_timestamp, 1648628101408, 549.96, 316.46, 244.24, 2.27, 0.05, 3.05, tool_force, 0.44, 0.2, 0.24, actual_rep, 1, curr_step, 1, track_size, 86, robot_vel, 0.0, joints_pos, 41.97, 49.89, -18.77, -77.69, 16.19, 49.43, 70.08, tool_torque, -0.02, -0.34, 0.109, tool_momentum, -0.019, -0.338, 0.109, robot_mode, normal, 
30/03/2022 10:16:35:458, robot_pos_w_timestamp, 1648628110895, 565.13, 153.61, 260.19, 2.26, 0.05, 3.12, tool_force, 0.48, 0.44, 0.05, actual_rep, 1, curr_step, 23, track_size, 86, robot_vel, 0.62, joints_pos, 30.16, 44.11, -21.38, -86.5, 16.57, 50.39, 54.46, tool_torque, 0.181, -0.448, 0.315, tool_momentum, 0.182, -0.448, 0.315, robot_mode, normal, 
30/03/2022 10:16:35:607, robot_pos_w_timestamp, 1648628111044, 565.13, 153.61, 260.2, 2.26, 0.05, 3.12, tool_force, 0.47, 0.46, 0.05, actual_rep, 1, curr_step, 23, track_size, 86, robot_vel, 0.1, joints_pos, 30.16, 44.11, -21.38, -86.49, 16.57, 50.39, 54.46, tool_torque, 0.183, -0.443, 0.318, tool_momentum, 0.181, -0.443, 0.318, robot_mode, normal, 
30/03/2022 10:16:35:760, robot_pos_w_timestamp, 1648628111196, 565.13, 153.6, 260.22, 2.26, 0.05, 3.12, tool_force, 0.45, 0.47, 0.06, actual_rep, 1, curr_step, 23, track_size, 86, robot_vel, 0.12, joints_pos, 30.16, 44.1, -21.38, -86.49, 16.57, 50.39, 54.46, tool_torque, 0.183, -0.442, 0.32, tool_momentum, 0.184, -0.443, 0.32, robot_mode, normal, 
30/03/2022 10:16:35:912, robot_pos_w_timestamp, 1648628111344, 564.96, 153.35, 260.93, 2.26, 0.05, 3.12, tool_force, 0.6, 0.99, 1.02, actual_rep, 1, curr_step, 23, track_size, 86, robot_vel, 5.51, joints_pos, 30.15, 44.01, -21.4, -86.52, 16.59, 50.52, 54.46, tool_torque, 0.253, -0.535, 0.378, tool_momentum, 0.267, -0.534, 0.378, robot_mode, normal, 
30/03/2022 10:16:36:062, robot_pos_w_timestamp, 1648628111494, 561.86, 150.52, 265.76, 2.26, 0.04, 3.12, tool_force, 0.61, 0.14, -1.23, actual_rep, 1, curr_step, 23, track_size, 86, robot_vel, 41.64, joints_pos, 30.02, 43.16, -21.46, -87.21, 16.74, 50.72, 54.09, tool_torque, 0.169, -0.439, 0.475, tool_momentum, 0.172, -0.439, 0.475, robot_mode, normal, 
30/03/2022 10:16:36:214, robot_pos_w_timestamp, 1648628111644, 559.83, 149.58, 264.81, 2.26, 0.04, 3.12, tool_force, 0.85, 1.42, -0.02, actual_rep, 1, curr_step, 23, track_size, 86, robot_vel, 5.79, joints_pos, 29.91, 42.96, -21.25, -87.69, 16.61, 50.31, 54.04, tool_torque, 0.497, -0.534, 0.447, tool_momentum, 0.497, -0.53, 0.446, robot_mode, normal, 
30/03/2022 10:16:36:365, robot_pos_w_timestamp, 1648628111792, 560.05, 149.43, 265.06, 2.26, 0.04, 3.12, tool_force, 0.13, 0.8, 0.2, actual_rep, 1, curr_step, 23, track_size, 86, robot_vel, 1.96, joints_pos, 29.87, 42.95, -21.23, -87.65, 16.56, 50.36, 54.06, tool_torque, 0.276, -0.449, 0.348, tool_momentum, 0.272, -0.46, 0.349, robot_mode, normal, 
30/03/2022 10:16:36:516, robot_pos_w_timestamp, 1648628111945, 560.27, 149.66, 265.21, 2.26, 0.04, 3.12, tool_force, 1.13, -0.18, -1.33, actual_rep, 1, curr_step, 23, track_size, 86, robot_vel, 3.61, joints_pos, 29.87, 42.97, -21.21, -87.59, 16.56, 50.41, 54.06, tool_torque, 0.035, -0.476, 0.261, tool_momentum, 0.037, -0.477, 0.261, robot_mode, normal, 
30/03/2022 10:16:36:669, robot_pos_w_timestamp, 1648628112092, 560.31, 149.88, 265.33, 2.26, 0.04, 3.12, tool_force, 0.93, 0.39, -1.68, actual_rep, 1, curr_step, 23, track_size, 86, robot_vel, 2.55, joints_pos, 29.87, 42.96, -21.2, -87.57, 16.56, 50.41, 54.08, tool_torque, 0.0080, -0.373, 0.216, tool_momentum, 0.01, -0.372, 0.216, robot_mode, normal, 
30/03/2022 10:16:36:819, robot_pos_w_timestamp, 1648628112243, 560.64, 150.12, 266.23, 2.26, 0.04, 3.12, tool_force, 0.71, 0.32, -4.94, actual_rep, 1, curr_step, 23, track_size, 86, robot_vel, 7.68, joints_pos, 29.88, 42.91, -21.2, -87.5, 16.56, 50.49, 54.09, tool_torque, -0.306, -0.361, 0.176, tool_momentum, -0.31, -0.361, 0.175, robot_mode, normal, 
30/03/2022 10:16:36:968, robot_pos_w_timestamp, 1648628112391, 560.65, 149.79, 267.28, 2.26, 0.04, 3.12, tool_force, 0.17, 0.48, -7.13, actual_rep, 1, curr_step, 24, track_size, 86, robot_vel, 4.31, joints_pos, 29.87, 42.8, -21.23, -87.51, 16.52, 50.56, 54.1, tool_torque, -0.456, -0.375, 0.201, tool_momentum, -0.454, -0.378, 0.201, robot_mode, normal, 
30/03/2022 10:16:37:120, robot_pos_w_timestamp, 1648628112541, 560.23, 149.68, 267.24, 2.26, 0.04, 3.12, tool_force, 0.91, -0.28, -6.96, actual_rep, 1, curr_step, 24, track_size, 86, robot_vel, 4.09, joints_pos, 29.87, 42.76, -21.21, -87.58, 16.51, 50.56, 54.08, tool_torque, -0.347, -0.362, 0.186, tool_momentum, -0.342, -0.364, 0.186, robot_mode, normal, 
30/03/2022 10:16:37:268, robot_pos_w_timestamp, 1648628112689, 559.82, 149.0, 266.77, 2.26, 0.04, 3.12, tool_force, -0.84, 0.28, -4.47, actual_rep, 1, curr_step, 24, track_size, 86, robot_vel, 7.5, joints_pos, 29.84, 42.74, -21.22, -87.71, 16.48, 50.44, 54.07, tool_torque, 0.0060, -0.284, 0.33, tool_momentum, 0.012, -0.281, 0.333, robot_mode, normal, 
30/03/2022 10:16:37:431, robot_pos_w_timestamp, 1648628112839, 560.5, 148.21, 266.57, 2.26, 0.04, 3.12, tool_force, -1.97, 1.64, -2.07, actual_rep, 1, curr_step, 24, track_size, 86, robot_vel, 8.96, joints_pos, 29.73, 42.8, -21.22, -87.61, 16.5, 50.47, 54.03, tool_torque, 0.073, -0.397, 0.49, tool_momentum, 0.072, -0.402, 0.49, robot_mode, normal, 
30/03/2022 10:16:37:574, robot_pos_w_timestamp, 1648628112987, 560.1, 146.31, 271.76, 2.26, 0.04, 3.12, tool_force, -2.82, 3.2, -0.75, actual_rep, 1, curr_step, 24, track_size, 86, robot_vel, 52.83, joints_pos, 29.55, 42.22, -21.28, -87.73, 16.68, 50.96, 53.84, tool_torque, 0.047, -0.511, 0.665, tool_momentum, 0.053, -0.508, 0.666, robot_mode, normal, 
30/03/2022 10:16:37:767, robot_pos_w_timestamp, 1648628113137, 558.48, 145.17, 270.89, 2.26, 0.04, 3.11, tool_force, -3.44, 4.37, 0.64, actual_rep, 1, curr_step, 24, track_size, 86, robot_vel, 6.74, joints_pos, 29.41, 42.07, -21.1, -88.12, 16.62, 50.64, 53.72, tool_torque, 0.483, -0.334, 0.641, tool_momentum, 0.466, -0.365, 0.643, robot_mode, normal, 
30/03/2022 10:16:37:873, robot_pos_w_timestamp, 1648628113288, 558.29, 146.4, 271.16, 2.26, 0.03, 3.12, tool_force, 0.92, 1.02, -1.47, actual_rep, 1, curr_step, 24, track_size, 86, robot_vel, 9.47, joints_pos, 29.43, 42.06, -20.97, -88.05, 16.52, 50.77, 53.86, tool_torque, 0.138, -0.35, 0.222, tool_momentum, 0.139, -0.35, 0.222, robot_mode, normal, 
30/03/2022 10:16:38:069, robot_pos_w_timestamp, 1648628113436, 557.65, 147.1, 271.05, 2.26, 0.04, 3.12, tool_force, -0.57, 2.11, -0.12, actual_rep, 1, curr_step, 24, track_size, 86, robot_vel, 2.16, joints_pos, 29.52, 42.01, -20.95, -88.16, 16.46, 50.67, 53.95, tool_torque, 0.239, -0.024, 0.045, tool_momentum, 0.236, -0.024, 0.044, robot_mode, normal, 
30/03/2022 10:16:38:173, robot_pos_w_timestamp, 1648628113585, 557.59, 146.79, 271.04, 2.26, 0.04, 3.12, tool_force, -0.74, 1.9, -0.17, actual_rep, 1, curr_step, 24, track_size, 86, robot_vel, 0.62, joints_pos, 29.52, 42.0, -20.98, -88.18, 16.46, 50.67, 53.94, tool_torque, 0.229, -0.093, 0.086, tool_momentum, 0.228, -0.093, 0.086, robot_mode, normal, 
30/03/2022 10:16:38:325, robot_pos_w_timestamp, 1648628113734, 557.61, 146.84, 271.04, 2.26, 0.04, 3.12, tool_force, -0.76, 2.14, -0.23, actual_rep, 1, curr_step, 24, track_size, 86, robot_vel, 0.99, joints_pos, 29.51, 42.0, -20.96, -88.18, 16.46, 50.66, 53.93, tool_torque, 0.27, -0.167, 0.073, tool_momentum, 0.271, -0.168, 0.073, robot_mode, normal, 
30/03/2022 10:16:38:476, robot_pos_w_timestamp, 1648628113886, 557.71, 146.48, 271.05, 2.26, 0.04, 3.12, tool_force, -0.93, 1.6, 0.07, actual_rep, 1, curr_step, 25, track_size, 86, robot_vel, 2.31, joints_pos, 29.47, 42.0, -20.97, -88.18, 16.46, 50.67, 53.91, tool_torque, 0.261, -0.211, 0.157, tool_momentum, 0.266, -0.211, 0.157, robot_mode, normal, 
30/03/2022 10:16:38:629, robot_pos_w_timestamp, 1648628114035, 557.35, 146.47, 271.1, 2.26, 0.04, 3.12, tool_force, -0.02, 1.93, -0.17, actual_rep, 1, curr_step, 25, track_size, 86, robot_vel, 3.73, joints_pos, 29.48, 41.96, -20.95, -88.23, 16.46, 50.68, 53.9, tool_torque, 0.322, -0.138, 0.169, tool_momentum, 0.324, -0.137, 0.167, robot_mode, normal, 
30/03/2022 10:16:38:777, robot_pos_w_timestamp, 1648628114183, 557.5, 146.16, 271.1, 2.26, 0.04, 3.12, tool_force, -1.67, 1.04, -0.11, actual_rep, 1, curr_step, 25, track_size, 86, robot_vel, 9.72, joints_pos, 29.48, 41.97, -20.99, -88.24, 16.45, 50.64, 53.9, tool_torque, 0.231, -0.121, 0.13, tool_momentum, 0.232, -0.124, 0.132, robot_mode, normal, 
30/03/2022 10:16:38:935, robot_pos_w_timestamp, 1648628114335, 557.43, 146.2, 270.94, 2.26, 0.04, 3.12, tool_force, -1.09, 1.29, 0.11, actual_rep, 1, curr_step, 25, track_size, 86, robot_vel, 5.52, joints_pos, 29.46, 41.97, -20.96, -88.25, 16.46, 50.62, 53.87, tool_torque, 0.248, -0.158, 0.131, tool_momentum, 0.245, -0.159, 0.131, robot_mode, normal, 
30/03/2022 10:16:39:079, robot_pos_w_timestamp, 1648628114482, 556.81, 145.24, 276.07, 2.26, 0.03, 3.11, tool_force, -0.83, 1.19, 0.59, actual_rep, 1, curr_step, 25, track_size, 86, robot_vel, 52.55, joints_pos, 29.42, 41.37, -21.06, -88.39, 16.6, 51.01, 53.78, tool_torque, 0.053, -0.371, 0.159, tool_momentum, 0.06, -0.373, 0.159, robot_mode, normal, 
30/03/2022 10:16:39:284, robot_pos_w_timestamp, 1648628114634, 553.19, 143.69, 277.62, 2.26, 0.03, 3.11, tool_force, -1.67, 2.57, 0.94, actual_rep, 1, curr_step, 25, track_size, 86, robot_vel, 25.91, joints_pos, 29.4, 40.76, -20.97, -89.19, 16.52, 50.66, 53.71, tool_torque, 0.471, -0.162, 0.201, tool_momentum, 0.487, -0.136, 0.198, robot_mode, normal, 
30/03/2022 10:16:39:382, robot_pos_w_timestamp, 1648628114782, 553.09, 143.73, 277.7, 2.26, 0.03, 3.11, tool_force, -1.38, 1.83, 1.44, actual_rep, 1, curr_step, 25, track_size, 86, robot_vel, 1.68, joints_pos, 29.37, 40.74, -20.94, -89.19, 16.5, 50.68, 53.73, tool_torque, 0.248, -0.233, 0.158, tool_momentum, 0.237, -0.238, 0.158, robot_mode, normal, 
30/03/2022 10:16:39:574, robot_pos_w_timestamp, 1648628114932, 553.22, 143.86, 277.66, 2.26, 0.03, 3.11, tool_force, -0.76, 0.76, 0.75, actual_rep, 1, curr_step, 25, track_size, 86, robot_vel, 1.58, joints_pos, 29.38, 40.76, -20.93, -89.16, 16.49, 50.68, 53.75, tool_torque, 0.137, -0.265, 0.139, tool_momentum, 0.139, -0.274, 0.139, robot_mode, normal, 
30/03/2022 10:16:39:689, robot_pos_w_timestamp, 1648628115081, 553.23, 143.89, 277.63, 2.26, 0.03, 3.11, tool_force, -0.86, 0.92, 0.86, actual_rep, 1, curr_step, 25, track_size, 86, robot_vel, 0.56, joints_pos, 29.38, 40.77, -20.93, -89.15, 16.49, 50.68, 53.76, tool_torque, 0.154, -0.197, 0.129, tool_momentum, 0.154, -0.193, 0.129, robot_mode, normal, 
